Denver,727211
Colorado Springs,478221
Aurora,379289
Fort Collins,170243
Lakewood,157935
Thornton,141464
Arvada,121272
Westminster,113166
Pueblo,112361
Centennial,110937
Greeley,108649
Boulder,105673
Highlands Ranch,105147
Longmont,97261
Loveland,78877
Broomfield,70465
Castle Rock,68484
Grand Junction,63597
Commerce City,60336
Parker,57706
